date,open,high,low,close,volume
2016-01-04,98.0089,100.6432,97.4262,100.626,67649387
2016-01-05,101.0081,101.1036,97.8179,98.1044,55790992
2016-01-06,96.0508,97.7796,95.3918,96.1845,68457388
2016-01-07,94.2551,95.6401,92.106,92.1251,81094428
2016-01-08,94.1309,94.6658,92.4212,92.6122,70798016
2016-01-11,94.5321,94.6181,92.9752,94.1118,49739377
2016-01-12,96.0413,96.175,94.4078,95.4777,49154227
2016-01-13,95.8216,96.6526,92.937,93.023,62439631
2016-01-14,93.5674,95.9744,91.4469,95.0574,63170127
2016-01-15,91.8863,93.3286,91.084,92.7746,79833891
2016-01-19,93.9972,94.2265,91.2177,92.3257,53087747
2016-01-20,90.8356,93.7868,89.231,92.4499,72334416
2016-01-21,92.7078,93.491,90.6828,91.9818,52161463
2016-01-22,94.2074,96.9105,93.959,96.8722,65800467
2016-01-25,96.9678,96.9773,94.7613,94.981,51794525
2016-01-26,95.4491,96.3565,93.6725,95.5064,75077002
2016-01-27,91.7335,92.296,89.1546,89.231,133369674
2016-01-28,89.5844,90.2816,88.2472,89.8709,55678825
2016-01-29,90.5395,92.9752,90.1193,92.9752,64416504
2016-02-01,92.1442,92.3734,91.1222,92.106,40943541
2016-02-02,91.1413,91.7335,90.0524,90.2434,37357215
2016-02-03,90.7401,92.4976,89.8614,92.0296,45964294
2016-02-04,92.0584,93.4701,91.415,92.7691,46471652
2016-02-05,92.6922,93.0764,89.9745,90.2914,46418064
2016-02-08,89.4367,91.9047,89.3502,91.2421,54021375
2016-02-09,90.5507,92.1352,90.2049,91.2229,44331195
2016-02-10,92.116,92.529,90.3682,90.5315,42343601
2016-02-11,90.0705,90.9636,88.9181,89.9841,50074711
2016-02-12,90.4546,90.7523,89.3214,90.2626,40351381
2016-02-16,91.2517,93.0091,90.858,92.8075,49057916
2016-02-17,92.8363,94.3152,92.3369,94.2288,44863243
2016-02-18,94.9202,94.9682,92.2802,92.4425,39020983
2016-02-19,92.1928,92.9226,92.0008,92.2313,35374173
