,Date,Hold,Nohold,Cash
0,2015-01-02,0.0,102.68,100.0
1,2015-01-05,0.0,99.79,100.0
2,2015-01-06,0.0,99.79,100.0
3,2015-01-07,0.0,101.19,100.0
4,2015-01-08,0.0,105.08,100.0
5,2015-01-09,0.0,105.19,100.0
6,2015-01-12,0.0,102.6,100.0
7,2015-01-13,0.0,103.51,100.0
8,2015-01-14,0.0,103.12,100.0
9,2015-01-15,0.0,100.32,100.0
10,2015-01-16,0.0,99.54,100.0
11,2015-01-20,0.0,102.11,100.0
12,2015-01-21,0.0,102.88,100.0
13,2015-01-22,0.0,105.56,100.0
14,2015-01-23,0.0,106.11,100.0
15,2015-01-26,0.0,106.22,100.0
16,2015-01-27,0.0,102.5,100.0
17,2015-01-28,0.0,108.29,100.0
18,2015-01-29,0.0,111.67,100.0
19,2015-01-30,0.0,110.03,100.0
20,2015-02-02,0.0,111.41,100.0
21,2015-02-03,111.43,0.0,100.02
22,2015-02-04,112.29,0.0,100.79
23,2015-02-05,113.09,0.0,101.51
24,2015-02-06,112.13,0.0,100.65
25,2015-02-09,112.88,0.0,101.32
26,2015-02-10,115.05,0.0,103.27
27,2015-02-11,117.74,0.0,105.68
28,2015-02-12,119.23,0.0,107.02
29,2015-02-13,119.82,0.0,107.55
30,2015-02-17,120.53,0.0,108.19
31,2015-02-18,121.36,0.0,108.94
32,2015-02-19,121.11,0.0,108.72
33,2015-02-20,122.1,0.0,109.61
34,2015-02-23,125.4,0.0,112.57
35,2015-02-24,124.62,0.0,111.87
36,2015-02-25,121.43,0.0,109.01
37,2015-02-26,122.96,0.0,110.38
38,2015-02-27,121.12,0.0,108.73
39,2015-03-02,121.71,0.0,109.26
40,2015-03-03,121.97,0.0,109.49
41,2015-03-04,121.2,0.0,108.8
42,2015-03-05,119.19,0.0,107.0
43,2015-03-06,0.0,119.37,107.0
44,2015-03-09,119.88,0.0,107.46
45,2015-03-10,117.4,0.0,105.24
46,2015-03-11,115.26,0.0,103.32
47,2015-03-12,117.34,0.0,105.18
48,2015-03-13,116.53,0.0,104.45
49,2015-03-16,117.81,0.0,105.6
50,2015-03-17,119.78,0.0,107.37
51,2015-03-18,0.0,121.13,107.37
52,2015-03-19,120.21,0.0,106.55
53,2015-03-20,118.71,0.0,105.22
54,2015-03-23,0.0,119.94,105.22
55,2015-03-24,0.0,119.45,105.22
56,2015-03-25,116.33,0.0,102.47
57,2015-03-26,0.0,117.14,102.47
58,2015-03-27,116.21,0.0,101.66
59,2015-03-30,119.15,0.0,104.23
60,2015-03-31,0.0,117.32,104.23
61,2015-04-01,0.0,117.15,104.23
62,2015-04-02,118.16,0.0,105.13
63,2015-04-06,120.07,0.0,106.83
64,2015-04-07,0.0,118.81,106.83
65,2015-04-08,0.0,118.42,106.83
66,2015-04-09,119.33,0.0,107.65
67,2015-04-10,0.0,119.84,107.65
68,2015-04-13,119.6,0.0,107.43
69,2015-04-14,119.08,0.0,106.96
70,2015-04-15,119.54,0.0,107.37
71,2015-04-16,0.0,118.96,107.37
72,2015-04-17,0.0,117.62,107.37
73,2015-04-20,120.31,0.0,109.83
74,2015-04-21,0.0,119.66,109.83
75,2015-04-22,0.0,121.27,109.83
76,2015-04-23,122.26,0.0,110.73
77,2015-04-24,0.0,122.84,110.73
78,2015-04-27,125.07,0.0,112.74
79,2015-04-28,0.0,123.1,112.74
80,2015-04-29,0.0,121.29,112.74
81,2015-04-30,118.0,0.0,109.68
82,2015-05-01,121.58,0.0,113.01
83,2015-05-04,0.0,121.35,113.01
84,2015-05-05,0.0,118.61,113.01
85,2015-05-06,117.87,0.0,112.3
86,2015-05-07,118.6,0.0,113.0
87,2015-05-08,0.0,120.83,113.0
88,2015-05-11,0.0,119.6,113.0
89,2015-05-12,119.17,0.0,112.59
90,2015-05-13,0.0,119.31,112.59
91,2015-05-14,0.0,122.09,112.59
92,2015-05-15,121.92,0.0,112.43
93,2015-05-18,0.0,123.26,112.43
94,2015-05-19,123.15,0.0,112.33
95,2015-05-20,123.14,0.0,112.32
96,2015-05-21,124.4,0.0,113.47
97,2015-05-22,125.49,0.0,114.46
98,2015-05-26,0.0,122.72,114.46
99,2015-05-27,0.0,125.02,114.46
100,2015-05-28,0.0,124.77,114.46
101,2015-05-29,123.35,0.0,113.16
102,2015-06-01,0.0,123.59,113.16
103,2015-06-02,0.0,123.05,113.16
104,2015-06-03,0.0,123.2,113.16
105,2015-06-04,122.48,0.0,112.5
106,2015-06-05,121.81,0.0,111.88
107,2015-06-08,0.0,121.0,111.88
108,2015-06-09,0.0,120.64,111.88
109,2015-06-10,122.02,0.0,113.16
110,2015-06-11,121.75,0.0,112.91
111,2015-06-12,0.0,120.4,112.91
112,2015-06-15,120.17,0.0,112.69
113,2015-06-16,0.0,120.81,112.69
114,2015-06-17,0.0,120.53,112.69
115,2015-06-18,121.08,0.0,113.2
116,2015-06-19,119.87,0.0,112.07
117,2015-06-22,0.0,120.82,112.07
118,2015-06-23,120.27,0.0,111.56
119,2015-06-24,0.0,121.29,111.56
120,2015-06-25,0.0,120.72,111.56
121,2015-06-26,120.01,0.0,110.9
122,2015-06-29,0.0,117.91,110.9
123,2015-06-30,118.75,0.0,111.69
124,2015-07-01,0.0,119.87,111.69
125,2015-07-02,0.0,119.71,111.69
126,2015-07-06,0.0,119.3,111.69
127,2015-07-07,0.0,119.0,111.69
128,2015-07-08,116.05,0.0,108.92
129,2015-07-09,0.0,113.68,108.92
130,2015-07-10,0.0,116.72,108.92
131,2015-07-13,0.0,118.98,108.92
132,2015-07-14,118.93,0.0,108.87
133,2015-07-15,0.0,120.07,108.87
134,2015-07-16,121.67,0.0,110.32
135,2015-07-17,0.0,122.72,110.32
136,2015-07-20,125.04,0.0,112.41
137,2015-07-21,0.0,123.79,112.41
138,2015-07-22,118.56,0.0,107.66
139,2015-07-23,0.0,118.5,107.66
140,2015-07-24,0.0,117.88,107.66
141,2015-07-27,0.0,116.24,107.66
142,2015-07-28,116.82,0.0,108.2
143,2015-07-29,116.45,0.0,107.86
144,2015-07-30,0.0,115.86,107.86
145,2015-07-31,0.0,114.85,107.86
146,2015-08-03,0.0,112.14,107.86
147,2015-08-04,0.0,108.54,107.86
148,2015-08-05,0.0,109.26,107.86
149,2015-08-06,109.5,0.0,108.1
150,2015-08-07,109.87,0.0,108.47
151,2015-08-10,0.0,113.86,108.47
152,2015-08-11,107.94,0.0,102.83
153,2015-08-12,109.6,0.0,104.41
154,2015-08-13,109.52,0.0,104.33
155,2015-08-14,110.29,0.0,105.06
156,2015-08-17,0.0,111.43,105.06
157,2015-08-18,0.0,110.8,105.06
158,2015-08-19,0.0,109.38,105.06
159,2015-08-20,0.0,107.14,105.06
160,2015-08-21,0.0,100.59,105.06
161,2015-08-24,98.08,0.0,102.44
162,2015-08-25,0.0,98.67,102.44
163,2015-08-26,0.0,104.32,102.44
164,2015-08-27,0.0,107.4,102.44
165,2015-08-28,0.0,107.75,102.44
166,2015-08-31,0.0,107.24,102.44
167,2015-09-01,102.45,0.0,97.86
168,2015-09-02,106.85,0.0,102.06
169,2015-09-03,104.97,0.0,100.26
170,2015-09-04,103.93,0.0,99.27
171,2015-09-08,0.0,106.82,99.27
172,2015-09-09,104.76,0.0,97.36
173,2015-09-10,0.0,107.06,97.36
174,2015-09-11,108.62,0.0,98.78
175,2015-09-14,109.67,0.0,99.73
176,2015-09-15,0.0,110.59,99.73
177,2015-09-16,0.0,110.72,99.73
178,2015-09-17,0.0,108.35,99.73
179,2015-09-18,0.0,107.9,99.73
180,2015-09-21,0.0,109.57,99.73
181,2015-09-22,107.85,0.0,98.16
182,2015-09-23,108.73,0.0,98.96
183,2015-09-24,109.38,0.0,99.55
184,2015-09-25,109.1,0.0,99.3
185,2015-09-28,0.0,106.94,99.3
186,2015-09-29,0.0,103.73,99.3
187,2015-09-30,104.91,0.0,100.43
188,2015-10-01,0.0,104.22,100.43
189,2015-10-02,0.0,104.98,100.43
190,2015-10-05,105.36,0.0,100.79
191,2015-10-06,0.0,105.87,100.79
192,2015-10-07,105.36,0.0,100.3
193,2015-10-08,104.14,0.0,99.14
194,2015-10-09,106.64,0.0,101.52
195,2015-10-12,106.14,0.0,101.04
196,2015-10-13,106.32,0.0,101.21
197,2015-10-14,0.0,104.82,101.21
198,2015-10-15,0.0,106.39,101.21
199,2015-10-16,105.61,0.0,100.47
200,2015-10-19,0.0,106.27,100.47
201,2015-10-20,108.21,0.0,102.3
202,2015-10-21,108.2,0.0,102.29
203,2015-10-22,0.0,109.85,102.29
204,2015-10-23,0.0,113.26,102.29
205,2015-10-26,0.0,109.64,102.29
206,2015-10-27,108.95,0.0,101.65
207,2015-10-28,0.0,113.44,101.65
208,2015-10-29,114.63,0.0,102.72
209,2015-10-30,113.66,0.0,101.85
210,2015-11-02,115.25,0.0,103.27
211,2015-11-03,0.0,116.57,103.27
212,2015-11-04,0.0,116.03,103.27
213,2015-11-05,115.5,0.0,102.8
214,2015-11-06,0.0,115.63,102.8
215,2015-11-09,115.16,0.0,102.38
216,2015-11-10,0.0,111.53,102.38
217,2015-11-11,110.9,0.0,101.8
218,2015-11-12,0.0,110.53,101.8
219,2015-11-13,107.3,0.0,98.83
220,2015-11-16,109.06,0.0,100.45
221,2015-11-17,0.0,108.59,100.45
222,2015-11-18,112.03,0.0,103.63
223,2015-11-19,113.45,0.0,104.94
224,2015-11-20,0.0,113.95,104.94
225,2015-11-23,0.0,112.47,104.94
226,2015-11-24,113.55,0.0,105.95
227,2015-11-25,112.74,0.0,105.19
228,2015-11-27,0.0,112.53,105.19
229,2015-11-30,113.0,0.0,105.63
230,2015-12-01,112.08,0.0,104.77
231,2015-12-02,0.0,111.07,104.77
232,2015-12-03,0.0,110.03,104.77
233,2015-12-04,113.69,0.0,108.26
234,2015-12-07,0.0,112.98,108.26
235,2015-12-08,0.0,112.93,108.26
236,2015-12-09,0.0,110.44,108.26
237,2015-12-10,0.0,110.96,108.26
238,2015-12-11,0.0,108.1,108.26
239,2015-12-14,107.44,0.0,107.6
240,2015-12-15,0.0,105.54,107.6
241,2015-12-16,106.35,0.0,108.43
242,2015-12-17,104.09,0.0,106.13
243,2015-12-18,101.28,0.0,103.26
244,2015-12-21,0.0,102.52,103.26
245,2015-12-22,102.42,0.0,103.16
246,2015-12-23,0.0,103.74,103.16
247,2015-12-24,0.0,103.19,103.16
248,2015-12-28,102.03,0.0,102.0
249,2015-12-29,0.0,103.86,102.0
250,2015-12-30,0.0,102.51,102.0
251,2015-12-31,0.0,100.54,102.0
252,2016-01-04,100.63,0.0,102.09
253,2016-01-05,0.0,98.1,102.09
254,2016-01-06,0.0,96.18,102.09
255,2016-01-07,0.0,92.13,102.09
256,2016-01-08,92.61,0.0,102.62
257,2016-01-11,0.0,94.11,102.62
258,2016-01-12,0.0,95.48,102.62
259,2016-01-13,0.0,93.02,102.62
260,2016-01-14,95.06,0.0,104.87
261,2016-01-15,0.0,92.77,104.87
262,2016-01-19,0.0,92.33,104.87
263,2016-01-20,92.45,0.0,105.01
264,2016-01-21,0.0,91.98,105.01
265,2016-01-22,96.87,0.0,110.59
266,2016-01-25,0.0,94.98,110.59
267,2016-01-26,0.0,95.51,110.59
268,2016-01-27,89.23,0.0,103.32
269,2016-01-28,0.0,89.87,103.32
270,2016-01-29,0.0,92.98,103.32
271,2016-02-01,92.11,0.0,102.35
272,2016-02-02,0.0,90.24,102.35
273,2016-02-03,0.0,92.03,102.35
274,2016-02-04,0.0,92.77,102.35
275,2016-02-05,90.29,0.0,99.61
276,2016-02-08,91.24,0.0,100.66
277,2016-02-09,91.22,0.0,100.64
278,2016-02-10,0.0,90.53,100.64
279,2016-02-11,89.98,0.0,100.03
280,2016-02-12,0.0,90.26,100.03
281,2016-02-16,0.0,92.81,100.03
282,2016-02-17,94.23,0.0,101.56
283,2016-02-18,0.0,92.44,101.56
284,2016-02-19,92.23,0.0,101.33
285,2016-02-22,0.0,93.04,101.33
286,2016-02-23,90.93,0.0,99.03
287,2016-02-24,0.0,92.29,99.03
288,2016-02-25,92.92,0.0,99.71
289,2016-02-26,93.07,0.0,99.87
290,2016-02-29,0.0,92.86,99.87
291,2016-03-01,0.0,96.54,99.87
292,2016-03-02,96.75,0.0,100.09
293,2016-03-03,97.47,0.0,100.83
294,2016-03-04,0.0,98.92,100.83
295,2016-03-07,97.83,0.0,99.72
296,2016-03-08,0.0,97.02,99.72
